"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_action_first_symptom,score_confusion,score_numbness,score_nosebleed,score_vision,score_first_contact,score_urgency,score_location,score_symptoms,score_risk,score_advice,total_raw_score,awareness_score
Physician,Yes,Within a day,yes,no,no,no,15-25,Male,other,"2,00,001 - 4,00,000",family/friend,immediately,other,"speech_or_confusion,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",seek_medical_help,0,1,0,1,0,2,0,0,2,0,2,2,0,36,3.1
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,not_specified,emergency_services,immediately,other,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",call_emergency_services,2,1,2,1,1,0,1,4,2,0,3,2,3,80,6.9
Physician,No,Within a week,no,no,no,no,15-25,Male,high school,"2,00,001 - 4,00,000",family/friend,unaware,hospital_or_medical_centre,no_response,Unaware,seek_medical_help,0,0,0,0,0,2,0,0,0,3,0,0,0,19,1.64
Physician,Yes,Within a day,yes,yes,yes,yes,26-40,Male,graduate,"4,00,001 - 6,00,000",doctor,after_checkup _or_medical_tests,doctor_or_specialist,"speech_or_confusion,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender",seek_medical_help,0,1,0,1,1,0,1,0,0,0,1,2,0,26,2.24
Physician,No,Within a week,maybe,maybe,maybe,maybe,26-40,Male,high school,"2,00,001 - 4,00,000",family/friend,after_checkup _or_medical_tests,hospital_or_medical_centre,no_response,Unaware,no_response,0,0,0,0,0,1,0,0,0,3,0,0,0,17,1.47
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a week,yes,maybe,yes,maybe,26-40,Male,high school,"2,00,001 - 4,00,000",emergency_services,after_few_days_(2-3days_or_week),hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,2,1,0,1,0,0,0,4,0,3,3,1,0,63,5.43
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,not_specified,emergency_services,immediately,for_ct_scan_or_diagnostic,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",call_emergency_services,0,1,2,1,1,0,1,4,2,0,3,2,3,74,6.38
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,yes,yes,yes,yes,15-25,Male,other,"2,00,001 - 4,00,000",emergency_services,immediately,emergency_services,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",other,2,1,0,1,1,0,1,4,2,4,3,2,0,88,7.59
Physician,No,Immediately,maybe,no,maybe,maybe,41-60,Female,high school,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,2,0,0,1,0,0,0,0,0,0,0,8,0.69
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,no,no,yes,no,26-40,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,hospital_or_medical_centre,no_response,Unaware,no_response,2,0,0,0,0,0,0,0,0,3,0,0,0,21,1.81
